transaction,txTime (ms),propagationTime (ms)
966,5031,4
967,5029,2
968,5044,3
969,5031,3
970,4030,604
971,5033,3
972,5026,3
973,5028,3
974,5027,2
975,5037,3
976,5027,3
977,5030,3
978,5025,3
979,5037,2
980,5023,3
981,5035,4
982,4025,603
983,5037,10
984,5038,2
985,5069,24
986,5067,2
987,5042,4
988,5041,2
989,4055,613
990,5046,3
991,5032,3
992,5027,4
993,5044,2
994,5031,4
995,5039,4
996,5034,3
997,5032,2
998,5027,3
999,4033,630
1000,5031,2
1001,5026,3
1002,5038,3
1003,5034,3
1004,5030,2
1005,5034,2
1006,5026,3
1007,5042,3
1008,5028,3
1009,4050,612
1010,5047,2
1011,5024,3
1012,5039,3
1013,5032,3
1014,5028,3
1015,5030,3
1016,5025,4
1017,5035,4
1018,5026,3
1019,5033,3
1020,5028,3
1021,4045,585
1022,5042,3
1023,5026,2
1024,5050,3
1025,5027,3
1026,5029,2
1027,5027,2
1028,5030,3
1029,5030,3
1030,5034,2
1031,5030,2
1032,4033,626
1033,5052,3
1034,5027,2
1035,5029,3
1036,5029,2
1037,5030,12
1038,5030,2
1039,5028,5
1040,5032,2
1041,5028,3
1042,5032,3
1043,4027,609
1044,5033,2
1045,5029,7
1046,5030,4
1047,5031,4
1048,5037,3
1049,5049,3
1050,5029,3
1051,5033,3
1052,5026,3
1053,5033,2
1054,4027,602
1055,5042,3
1056,5028,3
1057,5031,2
1058,5032,2
1059,4559,300
1060,5114,3
1061,5028,3
1062,5034,3
1063,5030,3
1064,5052,9
1065,5033,3
1066,5030,2
1067,4027,633
1068,5040,3
1069,5033,3
1070,5030,2
1071,5040,3
1072,5032,3
1073,5030,3
1074,5035,3
1075,5029,3
1076,5041,3
1077,4031,611
1078,5034,3
1079,5036,3
1080,5028,3
1081,5034,3
1082,5030,2
1083,5033,3
1084,5032,2
1085,5028,2
1086,5026,3
1087,5034,3
1088,5030,2
1089,4044,602
1090,5046,2
1091,5034,2
1092,5028,3
1093,5044,3
1094,5030,3
1095,5028,3
1096,5023,3
1097,5034,3
1098,5030,3
1099,5030,3
1100,4030,616
1101,5107,4
1102,5036,3
1103,5034,2
1104,5029,2
1105,5033,3
1106,5028,2
1107,5045,3
1108,4030,615
1109,5036,5
1110,5038,2
1111,5033,3
1112,5033,3
1113,5037,3
1114,5033,3
1115,5035,2
1116,5029,3
1117,5032,3
1118,5024,4
1119,4031,618
1120,5041,4
1121,5058,2
1122,5029,3
1123,5034,2
1124,5028,3
1125,4413,368
1126,5043,3
1127,5027,3
1128,5046,2
1129,5025,2
1130,5031,2
1131,5032,2
1132,5032,2
1133,5029,3
1134,5030,2
1135,5030,3
1136,4027,624
1137,5034,3
1138,5037,2
1139,5032,3
1140,5034,2
1141,5028,3
1142,5028,3
1143,5026,3
1144,5033,3
1145,5030,2
1146,5033,3
1147,5028,2
1148,4028,596
1149,5054,4
1150,5034,2
1151,5026,3
1152,5035,3
1153,5028,3
1154,5033,3
1155,5037,3
1156,5034,2
1157,5048,3
1158,4029,606
1159,5047,4
1160,5038,3
1161,5035,3
1162,5035,2
1163,5051,2
1164,5027,3
1165,5030,3
1166,5022,3
1167,5037,5
1168,4035,625
1169,5076,6
1170,5046,9
1171,5035,2
1172,5026,3
1173,5031,3
1174,5031,3
1175,5034,3
1176,5028,3
1177,4035,605
1178,5052,3
1179,5038,2
1180,5028,3
1181,5031,3
1182,5025,3
1183,5043,3
1184,5031,3
1185,5029,3
1186,5026,4
1187,5029,3
1188,4028,625
1189,5037,3
1190,5037,3
1191,5027,2
1192,5029,2
1193,5030,2
1194,5027,3
1195,5033,3
1196,5028,3
1197,5030,2
1198,5027,4
1199,4047,612
1200,5053,2
1201,5033,2
1202,5032,4
1203,5031,3
1204,5038,10
1205,5051,3
1206,5026,3
1207,5034,2
1208,5030,3
1209,4032,597
1210,5034,3
1211,5033,3
1212,5033,2
1213,5028,3
1214,5046,3
1215,5032,3
1216,5036,3
1217,5027,2
1218,5030,3
1219,5029,3
1220,4031,622
1221,5064,3
1222,5032,3
1223,5044,3
1224,5027,4
1225,5028,3
1226,5030,3
1227,5036,2
1228,5029,3
1229,5030,2
1230,4026,610
1231,5028,3
1232,5031,3
1233,5029,3
1234,5039,2
1235,5026,3
1236,5031,3
1237,5032,3
1238,5032,3
1239,5031,3
1240,5044,409
1241,4030,206
1242,5034,2
1243,5031,2
1244,5034,3
1245,5028,2
1246,5043,2
1247,5028,2
1248,5029,3
1249,5027,3
1250,5036,3
1251,5030,2
1252,5034,2
1253,4021,607
1254,5039,3
1255,5033,3
1256,5024,2
1257,5048,3
1258,5029,3
1259,5033,2
1260,5029,2
1261,5034,2
1262,5028,3
1263,5031,3
1264,4024,621
1265,5045,5
1266,5035,3
1267,5052,4
1268,5027,3
1269,5035,3
1270,5028,3
1271,5029,3
1272,5027,2
1273,5032,3
1274,5029,2
1275,4033,597
1276,5028,3
1277,5051,3
1278,5034,3
1279,5031,3
1280,5025,3
1281,5036,3
1282,5028,3
1283,5027,3
1284,5029,3
1285,5036,3
1286,4024,609
1287,5031,3
1288,5058,5
1289,5049,7
1290,5046,5
1291,5041,4
1292,5028,5
1293,5030,2
1294,5030,2
1295,5025,2
1296,4029,595
1297,5038,3
1298,5034,3
1299,5037,3
1300,5057,2
1301,5026,2
1302,5030,3
1303,5024,2
1304,5028,3
1305,5028,2
1306,5032,3
1307,4028,612
1308,5034,3
1309,5030,3
1310,5025,3
1311,5032,3
1312,5024,3
1313,5033,6
1314,5036,3
1315,5026,3
1316,5027,2
1317,5029,2
1318,5024,3
1319,4029,618
1320,5035,3
1321,5026,3
1322,5030,2
1323,5028,3
1324,5033,3
1325,5026,2
1326,5032,7
1327,5028,2
1328,5027,4
1329,5024,3
1330,5027,3
1331,4025,618
1332,5040,2
1333,5028,6
1334,5028,2
1335,5033,2
1336,5024,3
1337,5034,2
1338,5024,2
1339,5043,2
1340,5024,4
1341,5032,5
1342,4038,616
1343,5046,3
1344,5029,3
1345,5046,3
1346,5033,4
1347,5028,3
1348,5032,2
1349,5029,3
1350,5029,3
1351,5025,2
1352,5030,3
1353,4029,602
1354,5032,2
1355,5032,3
1356,5041,2
1357,5033,3
1358,5029,2
1359,5026,3
1360,5033,3
1361,5032,3
1362,5038,2
1363,5027,2
